,Key,date,season,away,home,Away Line Close,Away Odds Close,Home Odds Close,point_diff,win,cover,eloaway,elohome,eloaway_lag1,elohome_lag1,eloaway_lag2,elohome_lag2
17,2014-09-28chignb,2014-09-28,2014,gnb,chi,-2.0,1.813,2.11,21,1,1,1490.12550060919,1545.53180609219,1517.4691582699002,1524.36969324909,1497.8035491654,1474.557578928666
18,2014-09-28cltoti,2014-09-28,2014,oti,clt,7.5,3.89,1.303,-24,0,0,1407.1669023327,1558.6182763234,1460.78865931487,1524.5566025806,1502.56893324015,1540.6630443879
19,2014-09-28dalnor,2014-09-28,2014,nor,dal,-3.0,1.724,2.25,-21,0,0,1567.52407705386,1529.4161454083098,1549.32798002137,1508.5471880589998,1568.8255692846,1474.44767156422
20,2014-09-28htxbuf,2014-09-28,2014,buf,htx,3.0,2.21,1.746,-6,0,0,1481.93018248261,1422.52911041722,1505.18911709948,1442.59247701175,1472.7518088533,1410.05250904875
21,2014-09-28minatl,2014-09-28,2014,atl,min,-5.5,1.432,3.06,-13,0,0,1499.2659529942,1495.5082364212,1467.5724880338998,1473.1739016078,1489.9789508258998,1517.93177092771
22,2014-09-28nyjdet,2014-09-28,2014,det,nyj,2.0,2.08,1.84,7,1,1,1501.19229585525,1439.47457458503,1485.5885315024,1461.22815984852,1505.01362516652,1475.871239899558
23,2014-09-28pittam,2014-09-28,2014,tam,pit,7.5,4.01,1.289,3,1,1,1322.34261243,1565.05878482533,1426.3752762373,1515.714887382906,1436.1122022622,1549.66240485388
24,2014-09-28ravcar,2014-09-28,2014,car,rav,3.5,2.41,1.641,-28,0,0,1641.191969888,1543.390754816634,1689.5523975154,1533.3203598973648,1677.0706183633,1498.56439204512
25,2014-09-28sdgjax,2014-09-28,2014,jax,sdg,13.0,5.61,1.181,-19,0,0,1353.2822183002,1625.1610052711,1316.82701895696,1597.6319953885,1353.81614070626,1559.75090476859
26,2014-09-28sfophi,2014-09-28,2014,phi,sfo,3.5,2.86,1.48,-5,0,0,1574.3573740711,1611.96615139834,1558.52430402923,1625.7578784191412,1539.6900206306768,1672.70959863192
27,2014-09-29kannwe,2014-09-29,2014,nwe,kan,-3.0,1.724,2.25,-27,0,0,1617.91350733437,1499.44932587169,1615.5383116555402,1458.473882355084,1586.46117476729,1465.04820538863
28,2014-10-02gnbmin,2014-10-02,2014,min,gnb,8.5,4.46,1.25,-32,0,0,1487.57954697193,1544.3999391727998,1495.5082364212,1490.12550060919,1473.1739016078,1517.4691582699002
29,2014-10-05carchi,2014-10-05,2014,chi,car,1.5,2.06,1.854,-7,0,0,1503.51560321088,1606.4756774982,1545.53180609219,1641.191969888,1524.36969324909,1689.5523975154
30,2014-10-05cltrav,2014-10-05,2014,rav,clt,2.5,2.26,1.719,-7,0,0,1585.9591321911,1586.488313398,1543.390754816634,1558.6182763234,1533.3203598973648,1524.5566025806
31,2014-10-05dalhtx,2014-10-05,2014,htx,dal,5.0,3.1,1.425,-3,0,1,1440.36984726783,1565.84973947276,1422.52911041722,1529.4161454083098,1442.59247701175,1508.5471880589998
32,2014-10-05dencrd,2014-10-05,2014,crd,den,8.0,4.05,1.285,-21,0,0,1568.1540953041,1643.2722567457,1537.0505044195002,1661.3861450787,1519.4342008727,1654.0975769692998
33,2014-10-05detbuf,2014-10-05,2014,buf,det,4.5,2.97,1.454,3,1,1,1489.0506678097,1527.87909408598,1481.93018248261,1501.19229585525,1505.18911709948,1485.5885315024
34,2014-10-05jaxpit,2014-10-05,2014,pit,jax,-6.0,1.434,3.05,8,1,1,1542.85020415906,1346.2465898279,1565.05878482533,1353.2822183002,1515.714887382906,1316.82701895696
35,2014-10-05nortam,2014-10-05,2014,tam,nor,11.0,5.61,1.181,-6,0,1,1354.9320354959,1542.2206568651,1322.34261243,1567.52407705386,1426.3752762373,1549.32798002137
36,2014-10-05nwecin,2014-10-05,2014,cin,nwe,-2.5,1.769,2.18,-26,0,0,1619.89212610016,1569.8263095929,1609.7033526251998,1617.91350733437,1595.3605910510998,1615.5383116555402
37,2014-10-05nygatl,2014-10-05,2014,atl,nyg,4.0,2.76,1.51,-10,0,0,1475.6243688654,1513.0978504095,1499.2659529942,1463.11033638107,1467.5724880338998,1432.990441485
38,2014-10-05oticle,2014-10-05,2014,cle,oti,-1.0,1.862,2.05,1,1,0,1388.52665842538,1426.689362382,1385.2411519313998,1407.1669023327,1364.2615396613,1460.78865931487
39,2014-10-05phiram,2014-10-05,2014,ram,phi,3.5,2.75,1.512,-6,0,0,1378.4364854948,1549.7991588890582,1375.5490335339998,1574.3573740711,1351.215040385,1558.52430402923
40,2014-10-05sdgnyj,2014-10-05,2014,nyj,sdg,7.0,3.56,1.344,-31,0,0,1416.420011653365,1637.7587557533,1439.47457458503,1625.1610052711,1461.22815984852,1597.6319953885
41,2014-10-05sfokan,2014-10-05,2014,kan,sfo,4.0,2.81,1.495,-5,0,0,1546.56437346159,1620.5266079476,1499.44932587169,1611.96615139834,1458.473882355084,1625.7578784191412
42,2014-10-06wassea,2014-10-06,2014,sea,was,-7.0,1.338,3.6,10,1,1,1681.77716177888,1322.407462083,1665.71226124648,1360.4220433181,1692.5409183635402,1349.0705322151
43,2014-10-09htxclt,2014-10-09,2014,clt,htx,-2.5,1.8,2.13,5,1,1,1602.7461097261,1429.040223132134,1586.488313398,1440.36984726783,1558.6182763234,1422.52911041722
44,2014-10-12atlchi,2014-10-12,2014,chi,atl,3.5,2.71,1.526,14,1,1,1492.6917737612,1459.6990680046,1503.51560321088,1475.6243688654,1545.53180609219,1499.2659529942
45,2014-10-12bufnwe,2014-10-12,2014,nwe,buf,1.0,2.06,1.854,15,1,1,1608.02442506853,1511.812436455,1569.8263095929,1489.0506678097,1617.91350733437,1481.93018248261
46,2014-10-12cincar,2014-10-12,2014,car,cin,7.0,3.81,1.312,0,0,1,1614.9423759077,1593.8326077879,1606.4756774982,1619.89212610016,1641.191969888,1609.7033526251998
